id,title_en,description_en
1,Oil 'I' versus'/I 'ethanol,"We live in an age where ever most spoken about the need for alternative energy to reduce the consumption of fossil fuels, such as oil and gas – non-renewable resources. It is true that fossil fuels have been and will continue to do so for a long time, the...."
2,"Plug-and play synthbio: Arzeda, INVISTA, others finding new pathways to affordable, everyday materials","A new generation of advanced technologies, based primarily in the United States but active in Europe and around the world, is changing our way of thinking about what a factory has to look like, one that produces the materials of everyday life — clothing, foods, vehicles, buildings, roads and devices."
3,Amwal Appointed Fund Manager for Investment House Al-Beit Al Mali Fund,"Doha Qatar- January 17, 2016 Amwal LLC, Qatar's leading independent asset management firm, has been appointed Fund Manager for the Al-Beit Al Mali Fund founded by Investment House for investing in listed equities in Qatar, in line with the Islamic principles."
4,Sports cars Honda S660: small bangers,"In a town such as tokyo and a country such as Japan makes it with a car such as this, In any case, each cold: where power is incidental and the size of cars more hindrance, there is a sports cars for the west bag right powerful. But the wagon reassured not only the reason - it can motivate."
5,LG’s HVAC lineup takes Saudi market by storm,"Senior executives of LG Electronics Saudi Arabia and H.G.I. Shaker Co., with Eng. Mohi Al-Din Y. Hakami (wearing the Saudi national dress), Deputy Secretary General of the Jeddah Chamber of Commerce who inaugurated the exhibition, exchange pleasantries in the LG booth at the recently held HVAC R Expo Saudi 2016."
6,The Davos forum of all périls,"Streams of migrants, waves of attacks, jumping without end of oil and the markets, China encalminée and gone climate will overwhelm this week the Davos forum, where the powerful worldwide will try to see clearer. Like every year, in between - itself the village switzerland transformed into a fortress, 2."
7,Waste: EDF and Areva penalised,"This bad news could weigh still a little more on the stock price of EDF dropped Friday to 11,87 euros, its lowest history since its introduction in the stock exchange to eur 32 in 2005. Photo credit: Jean-Christophe MARMARA/Le Figaro. New blow for EDF and Areva."
8,California farmers brace for water shortage despite El Nino,"FRESNO, Calif. (AP) — Farmers in California's fertile San Joaquin Valley are bracing to receive no irrigation water from a federal system of reservoirs and canals for a third consecutive year and looking to El Nino to produce the very wet winter they need. The year kicked off with heavy rains and an above-average snowpack in the Sierra Nevada."
9,Environmentalists recalls the 50th anniversary of the accident of palomares,"Almeria, 17 Jan. (Europa Press) - environmentalists in action have concluded during this weekend a few days, on the occasion of the 50th anniversary of the accident at Palomares, where they met experts researchers from different fields that have been discussed and informed the audience about the...."
10,"Major study of contaminated water shows progress, challenges ahead","But because the substance is so widespread and hazardous to human health, scientists from five state and local agencies who conducted the study are urging broader efforts to limit farm fertilizer use that is the primary source of contamination. More than one in five tests of wells providing water to...."
